55.0 2.0 0
51.8 2.502 0
50.0 2.0 1
55.0 2.0 1
50.0 2.0 2
47.1 2.0 2
47.1 2.0 3
47.2 2.121 3
45.5 2.1 4
47.1 2.0 4
47.2 2.121 5
45.5 2.1 5
47.2 2.121 6
47.0 2.501 6
47.0 2.501 7
45.1 2.59 7
47.0 2.501 8
47.1 2.69 8
51.8 2.502 9
50.0 2.0 9
51.8 2.502 10
52.6 2.8 10
55.0 2.63 11
55.0 2.0 11
55.0 2.63 12
51.8 2.502 12
47.1 2.69 13
45.1 2.59 13
47.1 2.69 14
47.12 2.83 14
47.12 2.83 15
48.4 2.81 15
47.12 2.83 16
46.9 2.99 16
48.4 2.81 17
46.9 2.99 17
48.4 2.81 18
52.6 2.8 18
52.6 2.8 19
54.5 2.83 19
54.5 2.83 20
55.0 2.63 20
