#x1 y1 x2 y2 id
55.0 2.0 51.8 2.502 0 6
51.8 2.502 55.0 2.0 6 0
50.0 2.0 55.0 2.0 1 0
50.0 2.0 47.1 2.0 1 2
47.1 2.0 50.0 2.0 2 1
47.1 2.0 47.2 2.121 2 4
45.5 2.1 47.1 2.0 3 2
47.2 2.121 45.5 2.1 4 3
47.2 2.121 47.0 2.501 4 5
47.0 2.501 45.1 2.59 5 7
45.1 2.59 47.0 2.501 7 5
47.0 2.501 47.1 2.69 5 9
47.1 2.69 47.0 2.501 9 5
51.8 2.502 50.0 2.0 6 1
51.8 2.502 52.6 2.8 6 12
55.0 2.63 55.0 2.0 8 0
55.0 2.63 51.8 2.502 8 6
47.1 2.69 45.1 2.59 9 7
47.1 2.69 47.12 2.83 9 10
47.12 2.83 48.4 2.81 10 11
47.12 2.83 46.9 2.99 10 14
46.9 2.99 47.12 2.83 14 10
48.4 2.81 46.9 2.99 11 14
48.4 2.81 52.6 2.8 11 12
52.6 2.8 54.5 2.83 12 13
54.5 2.83 55.0 2.63 13 8
